Ghelo_harsh,@SwiggyCares i paid from paytm and not any credit received from your site.
paytmbankcare,@im_saraf You can also contact us through our in-app support section at https://t.co/d97OFba48j or let us know your… https://t.co/m36xjwInoz
paytmbankcare,"@PKDeshpande Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays wit… https://t.co/fQXDqBzV3Z"
AcerbicallyUrs,@_grammar_ @paytmbankcare Are you expecting better English communication skills from PayTM?    Cheap class ownershi… https://t.co/O7m5dkIwIO
teja007TJ,PayTM regional activists - We don't want Industrialization &amp; employment creation. We want High Court and xerox shop… https://t.co/r4vIMKlbF0
paytmbankcare,@VAIBHAVGULATI17 @Paytm Hi Vaibhav! We are here to help! Please share query reference no. (if any)/ registered mobi… https://t.co/ALCVhHzMO3
MGRaatma,"PK Cults want Chiru fans to be subservient 
((just posting film stuff
Pro JS/apolitical
Ignore their Trolling chiru… https://t.co/JOxmJY2cWn"
MohdUzair999,@Paytmcare @Paytm @PaytmTravel May i know the reason why my ticket voucher booking is failed??? https://t.co/YLCQUPZi8j
paytmbankcare,"@arun_dahiya09 Hi, We recommend you to update the Paytm app to the latest version from the Google Play store / Re-i… https://t.co/ZNoARaVUWt"
nenecm2,"@Mohanballa8 no anna
he is just a funny guy and sarcastic
chk his tweets
just to counter paytm dogs anthe 
Anna"
naveen0783,Please help on this #Paytm @Paytm   @Paytmcare please revert back Money. https://t.co/4pUYmQEAFN
KhiladiAkki1609,"@shilpa_lakhani @akshaykumar Shilpa maam !
Please ask akki sir to share the Book my show and Paytm ticket links for… https://t.co/mxtU6TojhH"
discover1983,"@narendramodi @nitin_gadkari @Paytm 

Sir again a big blunder.. Fastag cost 100/- but customers are getting 150 as… https://t.co/smL2EvVWQC"
Paytmcare,"@rbhargava59 Hi, please share your Reg. Paytm No. via DM to check this.  https://t.co/5m1Urzybmc"
paytmbankcare,"@viyesth Hi, Thank you for contacting Paytm Fastag Support Team. We are glad to inform you that your recent Fastag… https://t.co/4sT8gvZMaO"
paytmbankcare,"@iAkshayJoshi Hi Akshay, please share your RC copy, the barcode number you have received on the physical tag and th… https://t.co/70mG2VxVl1"
MaheshK2012,@Paytmcare Dear sir my Paytm number which is related to my problem 9717578738 During Paytm account login it shows a… https://t.co/BabUMbA9cR
rspyder124,@AnUpAmOhAnTy @1asutoshmohanty @Paytmcare @NHAISocialmedia @PMOIndia @FinMinIndia My Card Not Yet Recieved From… https://t.co/ShgQH1EYhc
paytmbankcare,"@manojx114 Hi Manoj, we are glad to inform you that the refund for incorrect deduction under 28xxxxxx156 and 28xxxx… https://t.co/QQmrhhyqi7"
Paytmcare,@mrraviagarwal22 You can also contact us through our in-app support section at https://t.co/Zi1bepdgb0 or let us kn… https://t.co/PChT6cSQrG
Devilvisu,"I have ordered a fastag from paytm and it is not working , I have tried many times contacting the customer support… https://t.co/m6ZxsSD69z"
Shubham11357410,@paytmmallcare @vijayshekhar Change that template to - We at Paytm Mall always strive to deliver best-in-class lies… https://t.co/tAaruyS10w
wriksen,"Star minibackpack

Price: Rs 500

Size: 19 x 9 x 17 cm 
Fabric: PU

** Zip front pocket, and zipped main chamber, w… https://t.co/ElgkU3uBtU"
paytmbankcare,"@prateektwt Hi, we understand you are facing issue in using your Fastag at toll plaza. As we can check, your Paytm… https://t.co/1LPLZ4wJ69"
tangysessions,How do I list my event on paytm? @Paytmcare https://t.co/EIXS0Rlamb
Paytmcare,"@nn_tiwari Hi, Paytm does not charge any convenience/transaction fee from its customers on using any payment method… https://t.co/wFIvhgXl7M"
paytmmallcare,@Shubham11357410 Sorry for the unpleasant experience. We at Paytm Mall always strive to deliver best-in-class custo… https://t.co/5zMVPxInps
paytmmallcare,"@vivekjohn20 Hi Vivek, Paytm Mall is not running any such offer. You are strongly advised to refrain from sharing s… https://t.co/bdYq8bUnCx"
SaveMoneyTT1,Paytm loot cashback Offer | FLAT Rs 50 cashback | Paytm cashback offer for all user https://t.co/UBoRHstdT4 https://t.co/voH1ZPAvYH
paytmbankcare,"@drvnbhatt Hi, Thank you for contacting Paytm Fastag Support Team. We are glad to inform you that your recent Fasta… https://t.co/2iHY6YfNFm"
SaveMoneyTT1,Cashback Carnival | Get ₹50 + ₹2020 + ₹1000 in your Account | Phonepe New offer | Paytm New offer |… https://t.co/Lz6ICFC3Tt
rbhargava59,"@Paytm #PaytmPospaid appears to falsely projected as very beneficial feature. Practically, it doesn't deliever what… https://t.co/Zir6q4ctN9"
rupeshmalpani,#FilmOfTheCentury #HappyChristmas #WiredTogether #HiHonor #Tag #UseKiyaKya #MyDuty #Google #Microsoft #Facebook… https://t.co/VG4qHwELY9
nn_tiwari,@Paytm Started convenience fee on Apartment electricity recharge which varies on mode. It was promised by paytm tha… https://t.co/KwZc2A6Azj
ArpitBiyani,"Please @Paytm refund these amounts. Order ID is given in screenshot. 
And do it ASAP. As it is already a week now.… https://t.co/tBY6coJrIa"
ArpitBiyani,@snapdeal @Paytm I've Made payment of 1790 and 2490 to this Snapdeal link. But i think this is fraud just happened… https://t.co/TtqtopibgN
panindraprakash,#FASTag @Paytm @Paytmcare   @renusatti @OfficeOfNG It has been 7 days that I have given the complete about my Fasta… https://t.co/HPUrxf1TXB
soumyamoy_das,@Uber_Kolkata I am unable to use any UPI other than PayTM for payment. I cannot use Amazon Pay or Google Pay also.… https://t.co/9Lp6DCUxBb
arif_vadsariya,"FY19 results of Start-up companies:
#Flipkart: 4234 Cr revenue &amp; 1624 Cr loss.
#Amazon: 7594Cr revenue &amp; 5685 Cr lo… https://t.co/xgYetXv44h"
soumyamoy_das,@Uber_India I am unable to use any UPI other than PayTM for payment. I cannot use Amazon Pay or Google Pay also. Ub… https://t.co/Ht4aw3OEcv
hrishirocks_007,For this I really hate to tell you but I may not be able to recommend Paytm Fastrack to anybody it's such kind of p… https://t.co/lohY8xYUUo
DINESHKOLHARE,"with nobody from his side his name is Ankur Kumar from Delhi guys we have to help him thanks in advance

Read more… https://t.co/4sSQEYWQ9R"
DharmaMovies,"It begins, the first laughs are already echoing!😂
#GoodNewwz in cinemas this #Friday!

Book your tickets now -… https://t.co/2T6LccdzPQ"
soumyamoy_das,@UberINSupport I am unable to use any UPI other than PayTM for payment. I cannot use Amazon Pay or Google Pay also.… https://t.co/HcmqcCQPU3
prabhav_bindal,"@paytmbankcare @vijayshekhar how many days will you take to update the status?
@Paytm will have to pay double toll… https://t.co/od6G76ZGiF"
tiedcjuit,"Currently working at PAYTM, Mr Kshitiz Gupta is a marketer at heart, JUIT alumni who  worked as a Brand Marketing A… https://t.co/GpaCysSqMg"
paytmbankcare,"@eersujit Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays with s… https://t.co/tGD5jV8k76"
vivekjohn20,@PaytmMoney @Paytm I have been fooled from this pop up pls save u r brand image from this criminals..!!! Gve more k… https://t.co/wkGG1yFHZX
NithinK97136590,"@PaytmTravel It’s been 9 months I booked a ticket from you, the flight is cancelled and still haven’t got my refund… https://t.co/trXzW5hgOC"
soumyamoy_das,@Uber_Support i don't know why i am unable to use any UPI other than PayTM for payment! Uber acc- i.soumya00@gmail.com
sachin_vermaupl,@Paytmcare @Paytm  kindly confirm is it real or fake link ? https://t.co/YYiXgidaMO
AjitGeorge5,@Uber_Mumbai your Uber Driver of MH04HN4488 Purusottam Rajak is a fraud. He said that he did not get any paytm paym… https://t.co/Ee2e9Qxctn
sushantjainsab,"@Paytmcare sir i book bus ticket of Maharashtra roadways , but they refused to accept  online Paytm ticket"
aayush_k_singh,@paytmbankcare why I m getting msg on paytm agent mob when he is trying to place a order @vijayshekhar… https://t.co/bIB7d14CiC
Shubham11357410,@vijayshekhar I went to @Paytm to buy a laptop for my brother. Doubting the whole ecom system after I got conned by you.
paytmbankcare,"@amazingreporter Hi, please update your Paytm app to the latest version and kindly Log Out and Log In to your Paytm… https://t.co/EcTNP2sqOv"
gopaludr1,"@paytmbankcare How to close/cancel my all fastag.
I have 5 fastag buy via @Paytm.
#paytmchorhai #Paytm"
DuttaMimli,"@PaytmCybercell @CyberDost 
Paytm - My dad Mr Sunil Chandra Datta was defrauded off ₹45,995, his pension money via… https://t.co/kgKVqr6wGC"
championswimmer,"2016: Who needs cash. PayTM karo. 
2019: No internet"
Paytmcare,"@flyrock_ Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays with s… https://t.co/w3GMJME6Q2"
Unbiased_minds,"@DeadpoolReddy @mega_fan7777 Only cash anta anna, google pay and paytm kuda accept cheyyale..."
AtulBan87901198,"@vijayshekhar This is not acceptable from Paytm , Paytm should safe guard the customer interest &amp; rights https://t.co/PjGCFoY8Tt"
paytmbankcare,"@awarabanda_ Hi! As per your request, your Paytm account registered with mobile number xxxxxx8167 has been closed a… https://t.co/ip1d0DdtgR"
brishtirnuri,@Oracle_India Does financial inclusion also mean using #PayTm for fraudulent transactions and phishing? Been a victim recently.
DipankarConnect,"Dear @IRCTCofficial @Paytm @Paytmcare @PaytmBank @GooglePay 

Today I booked Train ticket on IRCTC mobile app. Tick… https://t.co/U1qeEspzh7"
m_virmani,@Paytmcare @Paytm @vijayshekhar @Paytmcare  accepting that this is a fraud and the merchant to whom the money was t… https://t.co/0KNSp5JTVQ
rampyg,@uptickr @capitalmind_in @deepakshenoy You were mentioning about not finding a good expense tracking app. I too had… https://t.co/qOrUZaUFC9
i_am_nayaka,@paytmbankcare God help who is working in Paytm!!! Are they even literates? I have mentioned clearly stating that i… https://t.co/L4XpuSIg5P
AtulBan87901198,"@paytmmallcare Reply for my complaint on Paytm is not acceptable, plz do something to resolve the issue https://t.co/pZ6Ih9bfbC"
Paytmcare,"@Girish30461854 Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. M… https://t.co/trY7oAE5QE"
Beenit_S,@PaytmTravelCare The only reason why I chose paytm for Air ticket booking was the offer in HDFC bank debit card. Wh… https://t.co/AzbD5ClI1x
appadappajappa,@SalariedTaxpay1 @swiggy_in @oyorooms @Paytm Ooh - what's the timeline according to you?
saanu1610,@vijayshekhar Paytm's behavior is wrong and no information is correct. This company steals money.
SalariedTaxpay1,@appadappajappa @swiggy_in @oyorooms How could I forget @Paytm will also unravel
sourav2weets,"@Paytmcare That's OK... It was related to travel booking and I have made call to spice jet and resolved my issue.
F… https://t.co/DJ1ftHS3tR"
SalariedTaxpay1,"FY19 results of Start-up companies:
(Courtesy: Financial Express).

Flipkart: 4234 crore revenue &amp; 1624 crore loss.… https://t.co/EpYwaUmGiu"
ManaliModi8,@Paytmcare @Paytm @PaytmTickets Still no response. Do you at all care about your customers
vrs106108,@Paytmcare I request you again to kindly change my registered mobile number for the fastag bought recently on paytm… https://t.co/OkkDe4WEn7
Girish30461854,"@Paytmcare
@PaytmCybercell

I am not sure if Paytm take any action on these fraud mesg but these PPL were very conf… https://t.co/jVGzt9gt5h"
agarwalprachi,@HarshVa39993447 We also faced similar issue with paytm but we were lucky enough not to have much balance in that a… https://t.co/BmRUlIjBHc
sourav2weets,@Paytm @Paytmcare none of executives are free!! Calling repeatedly!!
dealsandalert,"OYO app daily quiz- win paytm cash and more 

Oyo Today's Answer :

Q) Which of the following cities has the larges… https://t.co/dLfAokj0YF"
Amit67180530,@Paytm stop harrasing customers. Fastag not delivered but showing falsely delivered and there is no customer support to answer.
AlokKum74148714,@paytmbankcare I ordered PayTM fasttag from your website. There was no option to upload my car RC. My order ID was:… https://t.co/72db9a73qt
Paytmcare,"@sourodeeppal Hi, we are keen to help you. Kindly elaborate your concern along with your Paytm registered mobile no… https://t.co/AINdRxftM6"
Paytmcare,"@saanu1610 Hi Sudeep, kindly note that once you select the payment mode as 'Paytm', you give Reliance Jio the autho… https://t.co/3hZtFrwJ4w"
Ayaan16khan1,@Voonik It is possible that u can send it to my paytm account
nitin3500,"@vijayshekhar @Paytm @Paytmcare one of most useless service providers when it comes to fastags, DO NOT BUY FASTAGS… https://t.co/iVPWyvaI3v"
DESAIMAULIK3554,"@fantasypower11 
hii sir
tomorrow i have withdrawal my winning amount in paytm but amount not added in my paytm acc… https://t.co/skxcChFaTl"
IAmNotKhan1,@Paytmcare You are trying to be fool public. I shared all information to you. You are a cheat company and not intre… https://t.co/wK7UJRxZ68
nitin3500,"@vijayshekhar lamest service from Paytm, Paytm cannot Handel customers for fastags, DO NOT BUY FASTAGS FROM PAYTM… https://t.co/shkNOlfk8p"
DESAIMAULIK3554,"@fantasypower11 hii sir
tomorrow i have withdrawal my winning amount in paytm but amount not added in my paytm acco… https://t.co/dUZzFV68Yc"
nitin3500,"@vijayshekhar never ever buy fastags from Paytm, customer service center employees are just helpless, better to buy… https://t.co/Eo3ENr191K"
waitingtomoveon,"@SwiggyCares Why private message. Let every1 know the shitty levels of service u have. 
1st attempt option cash pay… https://t.co/3tqvdkSzpK"
Paytmcare,"@ajeshsrivastava Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages.… https://t.co/wP5rCaYs5e"
nitin3500,"@vijayshekhar one of the most poor after sales service from Paytm, never ever buy fastag from paytm @FASTag_NETC @Paytm @Paytmcare"
thejha,@amitsomani @Sairee @Paytm @imVkohli @ImRo45 Congrats @sairee
sharmaabs94,"@Paytm @Paytmcare @PaytmTravel i booked flights @ Paytm &amp; u sold me an extra ""hotel coupon"" which apparantly ""faile… https://t.co/LWo0w9nXDX"
sourodeeppal,"I was very disappointed with @Paytm today.Purchased a deal with them ,but later found out it was not valid. It was… https://t.co/9bmvtgATSx"
vb_vijaybaskar,@Paytmcare I ordered my fastag in in paytm received it also but with that there is application form whom details to… https://t.co/Pq4ySiTxcL
iamkamalnayan,@thesushmitaj @Paytm @PaytmCybercell @PaytmBank @Paytmcare I and all my connections moved on! 😊
ParthaBarman,"@Paytm
@paytmbankcare
@Paytmcare
@vijayshekhar
Guys do I need to pay more to get the refund? Or if you guys plan to… https://t.co/QHgKDi4qA1"
ronitmukh02,@Paytmcare Thanks @Paytm  @Paytmcare for your reply.. the bug I have noted is functional and UI related not securit… https://t.co/R0QgjGpFcn
priyanshubhatar,@ManojKarunakar3 @ZeeNews @sudhirchaudhary @dna Dear this has no relevance with the pseudo cloud create by these fl… https://t.co/wEx0od48G1
akshay_dvlpr,@GooglePlay @swiggy_in @SwiggyCares @messenger @Paytm @Paytmcare @LinkedIn @LinkedInIndia @googledevs #googleduo… https://t.co/MHac0HRwvt
